Repository Owner,Repository Name,Repository Star Count,Repository URL
mrdoob,three.js,94200,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,23600,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,21900,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,21300,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,17700,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,16000,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,15600,https://github.com/aframevr/aframe
FreeCAD,FreeCAD,15000,https://github.com/FreeCAD/FreeCAD
CesiumGS,cesium,10900,https://github.com/CesiumGS/cesium
metafizzy,zdog,10000,https://github.com/metafizzy/zdog
isl-org,Open3D,9400,https://github.com/isl-org/Open3D
blender,blender,9300,https://github.com/blender/blender
timzhang642,3D-Machine-Learning,9100,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7400,https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,6600,https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,6500,https://github.com/FyroxEngine/Fyrox
nerfstudio-project,nerfstudio,6400,https://github.com/nerfstudio-project/nerfstudio
google,model-viewer,5900,https://github.com/google/model-viewer
openscad,openscad,5800,https://github.com/openscad/openscad
spritejs,spritejs,5200,https://github.com/spritejs/spritejs
