Repository Owner,Repository Name,Repository Star Count,Repository URL
public-apis,public-apis,255000,https://github.com/public-apis/public-apis
neovim,neovim,69100,https://github.com/neovim/neovim
tiangolo,fastapi,62100,https://github.com/tiangolo/fastapi
strapi,strapi,55800,https://github.com/strapi/strapi
hoppscotch,hoppscotch,54200,https://github.com/hoppscotch/hoppscotch
ocornut,imgui,50000,https://github.com/ocornut/imgui
meilisearch,meilisearch,38600,https://github.com/meilisearch/meilisearch
slatedocs,slate,35400,https://github.com/slatedocs/slate
Kong,insomnia,30400,https://github.com/Kong/insomnia
hasura,graphql-engine,30100,https://github.com/hasura/graphql-engine
httpie,cli,29000,https://github.com/httpie/cli
ccxt,ccxt,29000,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,29000,https://github.com/Binaryify/NeteaseCloudMusicApi
trpc,trpc,28400,https://github.com/trpc/trpc
YMFE,yapi,26500,https://github.com/YMFE/yapi
encode,django-rest-framework,26200,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,24200,https://github.com/littlecodersh/ItChat
directus,directus,23000,https://github.com/directus/directus
microsoft,api-guidelines,21700,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,21200,https://github.com/shieldfy/API-Security-Checklist
