Repository Owner,Repository Name,Repository Star Count,Repository URL
ljianshu,Blog,7700,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7300,https://github.com/metafizzy/infinite-scroll
olifolkerd,tabulator,5700,https://github.com/olifolkerd/tabulator
developit,unfetch,5600,https://github.com/developit/unfetch
jquery-form,form,5200,https://github.com/jquery-form/form
Studio-42,elFinder,4500,https://github.com/Studio-42/elFinder
elbywan,wretch,4200,https://github.com/elbywan/wretch
dwyl,learn-to-send-email-via-google-script-html-no-server,3000,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
ded,reqwest,2900,https://github.com/ded/reqwest
wendux,ajax-hook,2400,https://github.com/wendux/ajax-hook
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
noelboss,featherlight,2100,https://github.com/noelboss/featherlight
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
taoensso,sente,1700,https://github.com/taoensso/sente
nette,tracy,1700,https://github.com/nette/tracy
loadingio,css-spinner,1600,https://github.com/loadingio/css-spinner
k8w,tsrpc,1600,https://github.com/k8w/tsrpc
joaomilho,Enterprise,1600,https://github.com/joaomilho/Enterprise
codingforentrepreneurs,eCommerce,1400,https://github.com/codingforentrepreneurs/eCommerce
u014427391,jeeplatform,1400,https://github.com/u014427391/jeeplatform
