Repository Owner,Repository Name,Repository Star Count,Repository URL
jwasham,coding-interview-university,264000,https://github.com/jwasham/coding-interview-university
trekhleb,javascript-algorithms,175000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,168000,https://github.com/TheAlgorithms/Python
CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
yangshun,tech-interview-handbook,94400,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,60300,https://github.com/kdn251/interviews
TheAlgorithms,Java,53400,https://github.com/TheAlgorithms/Java
azl397985856,leetcode,52300,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,44200,https://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,41600,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,30400,https://github.com/halfrost/LeetCode-Go
huihut,interview,30200,https://github.com/huihut/interview
donnemartin,interactive-coding-challenges,27800,https://github.com/donnemartin/interactive-coding-challenges
TheAlgorithms,JavaScript,27700,https://github.com/TheAlgorithms/JavaScript
crossoverJie,JCSprout,27000,https://github.com/crossoverJie/JCSprout
TheAlgorithms,C-Plus-Plus,25500,https://github.com/TheAlgorithms/C-Plus-Plus
keon,algorithms,22900,https://github.com/keon/algorithms
mxgmn,WaveFunctionCollapse,21700,https://github.com/mxgmn/WaveFunctionCollapse
trekhleb,homemade-machine-learning,21700,https://github.com/trekhleb/homemade-machine-learning
AtsushiSakai,PythonRobotics,19600,https://github.com/AtsushiSakai/PythonRobotics
