Repository Owner,Repository Name,Repository Star Count,Repository URL
amphp,amp,4000,https://github.com/amphp/amp
danog,MadelineProto,2500,https://github.com/danog/MadelineProto
unreal4u,telegram-api,763,https://github.com/unreal4u/telegram-api
amphp,parallel,684,https://github.com/amphp/parallel
amphp,http-client,667,https://github.com/amphp/http-client
php-service-bus,service-bus,344,https://github.com/php-service-bus/service-bus
amphp,byte-stream,343,https://github.com/amphp/byte-stream
amphp,mysql,327,https://github.com/amphp/mysql
amphp,parallel-functions,248,https://github.com/amphp/parallel-functions
amphp,process,216,https://github.com/amphp/process
amphp,socket,199,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,186,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,143,https://github.com/amphp/sync
amphp,redis,140,https://github.com/amphp/redis
amphp,dns,140,https://github.com/amphp/dns
amphp,websocket-client,124,https://github.com/amphp/websocket-client
kelunik,acme,122,https://github.com/kelunik/acme
amphp,serialization,99,https://github.com/amphp/serialization
amphp,websocket-server,96,https://github.com/amphp/websocket-server
PeeHaa,mailgrab,93,https://github.com/PeeHaa/mailgrab
