Repository Owner,Repository Name,Repository Star Count,Repository URL
sindresorhus,awesome,268000,https://github.com/sindresorhus/awesome
vinta,awesome-python,179000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,147000,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,108000,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,106000,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,76100,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,74400,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,68700,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,63200,https://github.com/jaywcjlove/awesome-mac
enaqx,awesome-react,57800,https://github.com/enaqx/awesome-react
DopplerHQ,awesome-interview-questions,57200,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,56000,https://github.com/MunGell/awesome-for-beginners
sindresorhus,awesome-nodejs,52600,https://github.com/sindresorhus/awesome-nodejs
prakhar1989,awesome-courses,49000,https://github.com/prakhar1989/awesome-courses
fffaraz,awesome-cpp,48700,https://github.com/fffaraz/awesome-cpp
Solido,awesome-flutter,48300,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,48100,https://github.com/binhnguyennus/awesome-scalability
wasabeef,awesome-android-ui,47200,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,43800,https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,42200,https://github.com/tiimgreen/github-cheat-sheet
