Repository Owner,Repository Name,Repository Star Count,Repository URL
bregman-arie,devops-exercises,57600,https://github.com/bregman-arie/devops-exercises
pulumi,pulumi,17300,https://github.com/pulumi/pulumi
recommenders-team,recommenders,16300,https://github.com/recommenders-team/recommenders
ramitsurana,awesome-kubernetes,14100,https://github.com/ramitsurana/awesome-kubernetes
getsops,sops,13700,https://github.com/getsops/sops
Azure,azure-quickstart-templates,13200,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,10900,https://github.com/caprover/caprover
infracost,infracost,9500,https://github.com/infracost/infracost
google,go-cloud,9200,https://github.com/google/go-cloud
microsoft,computervision-recipes,9100,https://github.com/microsoft/computervision-recipes
prowler-cloud,prowler,8500,https://github.com/prowler-cloud/prowler
microsoft,azuredatastudio,7200,https://github.com/microsoft/azuredatastudio
Netflix,metaflow,7000,https://github.com/Netflix/metaflow
midwayjs,midway,6800,https://github.com/midwayjs/midway
node-formidable,formidable,6700,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,6300,https://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,6200,https://github.com/aquasecurity/tfsec
budtmo,docker-android,6000,https://github.com/budtmo/docker-android
milanm,DevOps-Roadmap,5900,https://github.com/milanm/DevOps-Roadmap
bridgecrewio,checkov,5900,https://github.com/bridgecrewio/checkov
