Repository Owner,Repository Name,Repository Star Count,Repository URL
babel,babel,42500,https://github.com/babel/babel
swc-project,swc,28400,https://github.com/swc-project/swc
nylas,nylas-mail,24800,https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,21800,https://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,20500,https://github.com/avajs/ava
SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,15000,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11800,https://github.com/jamiebuilds/babel-handbook
developit,htm,8300,https://github.com/developit/htm
grommet,grommet,8200,https://github.com/grommet/grommet
ben-rogerson,twin.macro,7500,https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5700,https://github.com/documentationjs/documentation
fkling,astexplorer,5600,https://github.com/fkling/astexplorer
insin,nwb,5600,https://github.com/insin/nwb
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
egoist,poi,5300,https://github.com/egoist/poi
duxianwei520,react,4900,https://github.com/duxianwei520/react
transitive-bullshit,create-react-library,4800,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4800,https://github.com/babel/babel-loader
