Repository Owner,Repository Name,Repository Star Count,Repository URL
jlevy,the-art-of-command-line,139000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,69800,https://github.com/nvm-sh/nvm
junegunn,fzf,54100,https://github.com/junegunn/fzf
google,zx,38300,https://github.com/google/zx
starship,starship,36100,https://github.com/starship/starship
dylanaraps,pure-bash-bible,34700,https://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,34500,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,33000,https://github.com/acmesh-official/acme.sh
koalaman,shellcheck,32900,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,29300,https://github.com/mathiasbynens/dotfiles
alebcay,awesome-shell,28400,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,24800,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,22900,https://github.com/withfig/autocomplete
dylanaraps,neofetch,18700,https://github.com/dylanaraps/neofetch
asdf-vm,asdf,18400,https://github.com/asdf-vm/asdf
Nyr,openvpn-install,17500,https://github.com/Nyr/openvpn-install
kingToolbox,WindTerm,16500,https://github.com/kingToolbox/WindTerm
rbenv,rbenv,15300,https://github.com/rbenv/rbenv
warpdotdev,Warp,15100,https://github.com/warpdotdev/Warp
charmbracelet,gum,14500,https://github.com/charmbracelet/gum
