Repository Owner,Repository Name,Repository Star Count,Repository URL
CyC2018,CS-Notes,167000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,115000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,52300,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,48700,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,41600,https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,41500,https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,32500,https://github.com/Light-City/CPlusPlusThings
carbon-language,carbon-lang,31100,https://github.com/carbon-language/carbon-lang
yuzu-emu,yuzu,30500,https://github.com/yuzu-emu/yuzu
huihut,interview,30200,https://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,27800,https://github.com/CMU-Perceptual-Computing-Lab/openpose
microsoft,calculator,27600,https://github.com/microsoft/calculator
TheAlgorithms,C-Plus-Plus,25500,https://github.com/TheAlgorithms/C-Plus-Plus
doocs,leetcode,23100,https://github.com/doocs/leetcode
changkun,modern-cpp-tutorial,21500,https://github.com/changkun/modern-cpp-tutorial
dragonflydb,dragonfly,20900,https://github.com/dragonflydb/dragonfly
ethereum,solidity,20800,https://github.com/ethereum/solidity
gabime,spdlog,19800,https://github.com/gabime/spdlog
microsoft,vcpkg,19600,https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,17700,https://github.com/ssloy/tinyrenderer
