Repository Owner,Repository Name,Repository Star Count,Repository URL
Genymobile,scrcpy,90500,https://github.com/Genymobile/scrcpy
neovim,neovim,69100,https://github.com/neovim/neovim
obsproject,obs-studio,50000,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,48700,https://github.com/fffaraz/awesome-cpp
git,git,47200,https://github.com/git/git
FFmpeg,FFmpeg,38100,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,36700,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,32500,https://github.com/vim/vim
curl,curl,31100,https://github.com/curl/curl
huihut,interview,30200,https://github.com/huihut/interview
ggreer,the_silver_searcher,25200,https://github.com/ggreer/the_silver_searcher
mpv-player,mpv,23400,https://github.com/mpv-player/mpv
ossrs,srs,22500,https://github.com/ossrs/srs
google,flatbuffers,21000,https://github.com/google/flatbuffers
ruby,ruby,20700,https://github.com/ruby/ruby
kovidgoyal,kitty,19800,https://github.com/kovidgoyal/kitty
microsoft,vcpkg,19600,https://github.com/microsoft/vcpkg
oracle,graal,19000,https://github.com/oracle/graal
radareorg,radare2,18500,https://github.com/radareorg/radare2
hashcat,hashcat,18100,https://github.com/hashcat/hashcat
