Repository Owner,Repository Name,Repository Star Count,Repository URL
iamadamdev,bypass-paywalls-chrome,40600,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,24800,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,21600,https://github.com/refined-github/refined-github
openai-translator,openai-translator,17800,https://github.com/openai-translator/openai-translator
darkreader,darkreader,17200,https://github.com/darkreader/darkreader
checkly,headless-recorder,14800,https://github.com/checkly/headless-recorder
dailydotdev,daily,13900,https://github.com/dailydotdev/daily
unbug,codelf,13700,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
gildas-lormeau,SingleFile,11800,https://github.com/gildas-lormeau/SingleFile
Anarios,return-youtube-dislike,11400,https://github.com/Anarios/return-youtube-dislike
immersive-translate,immersive-translate,11400,https://github.com/immersive-translate/immersive-translate
crimx,ext-saladict,11000,https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,10500,https://github.com/listen1/listen1_chrome_extension
josStorer,chatGPTBox,8700,https://github.com/josStorer/chatGPTBox
alyssaxuu,screenity,8600,https://github.com/alyssaxuu/screenity
appbaseio,dejavu,8200,https://github.com/appbaseio/dejavu
chathub-dev,chathub,8000,https://github.com/chathub-dev/chathub
AutomaApp,automa,8000,https://github.com/AutomaApp/automa
ajayyy,SponsorBlock,7500,https://github.com/ajayyy/SponsorBlock
