Repository Owner,Repository Name,Repository Star Count,Repository URL
metabase,metabase,33900,https://github.com/metabase/metabase
logseq,logseq,24800,https://github.com/logseq/logseq
penpot,penpot,23000,https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,13100,https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,11700,https://github.com/LightTable/LightTable
kanaka,mal,9500,https://github.com/kanaka/mal
lk-geimfari,awesomo,9000,https://github.com/lk-geimfari/awesomo
tonsky,datascript,5200,https://github.com/tonsky/datascript
reagent-project,reagent,4700,https://github.com/reagent-project/reagent
riemann,riemann,4200,https://github.com/riemann/riemann
izhangzhihao,intellij-rainbow-brackets,4100,https://github.com/izhangzhihao/intellij-rainbow-brackets
weavejester,compojure,4000,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,4000,https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,3700,https://github.com/status-im/status-mobile
ring-clojure,ring,3600,https://github.com/ring-clojure/ring
babashka,babashka,3500,https://github.com/babashka/babashka
clojure-emacs,cider,3500,https://github.com/clojure-emacs/cider
viebel,klipse,3100,https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,3000,https://github.com/tallesl/Rich-Hickey-fanclub
bhauman,lein-figwheel,2900,https://github.com/bhauman/lein-figwheel
