Repository Owner,Repository Name,Repository Star Count,Repository URL
vercel,next.js,111000,https://github.com/vercel/next.js
rust-lang,rust,84900,https://github.com/rust-lang/rust
sveltejs,svelte,72200,https://github.com/sveltejs/svelte
webpack,webpack,63500,https://github.com/webpack/webpack
gatsbyjs,gatsby,54700,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,45600,https://github.com/JetBrains/kotlin
parcel-bundler,parcel,42700,https://github.com/parcel-bundler/parcel
babel,babel,42500,https://github.com/babel/babel
evanw,esbuild,35900,https://github.com/evanw/esbuild
vlang,v,34400,https://github.com/vlang/v
carbon-language,carbon-lang,31100,https://github.com/carbon-language/carbon-lang
markedjs,marked,30400,https://github.com/markedjs/marked
swc-project,swc,28400,https://github.com/swc-project/swc
FuelLabs,sway,27400,https://github.com/FuelLabs/sway
ziglang,zig,25000,https://github.com/ziglang/zig
vercel,pkg,23700,https://github.com/vercel/pkg
v8,v8,21600,https://github.com/v8/v8
typst,typst,20400,https://github.com/typst/typst
AssemblyScript,assemblyscript,15900,https://github.com/AssemblyScript/assemblyscript
RustPython,RustPython,15500,https://github.com/RustPython/RustPython
